Year,long_date,Zip,total_num_crimes,crimes_per_capita,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates,predictions,Raw Diff,Abs Diff
2017,1/1/2017,60605,5,0.000402479,0,201701,419800,108,66.5,76,315.8751929,1249,497119,169,60605,12423,111164,2357,170,0.19,0.013684295,8.5,92,0.007405619,10,0.000804959,99,0.00796909,162,0.013040328,176,0.01416727,4,0.000321983,40,0.003219834,3,0.000241488,1,19864.09,4.15,335.0166432,19.14145034,19.14145034
2017,1/1/2017,60607,13,0.000835905,0,201701,539050,73,61,56,304.09501,1468.5,720123,236,60607,15552,93508,3678,306,0.236,0.019675926,8.5,133,0.008551955,8,0.000514403,248,0.019962972,337,0.027127103,343,0.027610078,6,0.000385802,92,0.005915638,3,0.000192901,1,19864.09,4.15,314.8569814,10.76197142,10.76197142
2017,1/1/2017,60608,18,0.000194654,0,201701,292300,66,66,36,220.8510638,1163,341667,105,60608,92472,44043,13453,133,0.145,0.001438273,3.5,348,0.003763301,12,0.000129769,662,0.053288256,1081,0.087016019,427,0.03437173,1,1.08E-05,344,0.003720045,14,0.000151397,0,19864.09,4.15,206.4853643,-14.36569947,14.36569947
2017,1/1/2017,60609,13,0.000163586,0,201701,169500,47,61,28,127.8886159,1198.5,227907,89,60609,79469,35179,15714,66,0.198,0.000830513,2.8,417,0.005247329,8,0.000100668,912,0.073412219,598,0.048136521,212,0.017065121,1,1.26E-05,1640,0.020636978,5,6.29E-05,0,19864.09,4.15,101.012799,-26.87581694,26.87581694
2017,1/1/2017,60610,43,0.000905015,0,201701,650050,270,76,204,350.35,1520,1397900,411,60610,47513,86803,2585,253,0.054,0.005324858,5.4,109,0.002294109,10,0.000210469,105,0.008452065,232,0.018675038,219,0.017628592,13,0.000273609,57,0.001199672,7,0.000147328,1,19864.09,4.15,284.4817859,-65.86821407,65.86821407
2017,1/1/2017,60612,15,0.000394841,0,201701,326550,62,51.5,32,152.173913,1250,452942,98,60612,37990,41300,364083,45,9.584,0.001184522,2.8,285,0.007501974,12,0.000315873,476,0.038316027,698,0.056186106,183,0.014730741,0,0,1117,0.029402474,1,2.63E-05,0,19864.09,4.15,153.0092317,0.835318655,0.835318655
2017,1/1/2017,60613,13,0.000257181,0,201701,311050,194,71,124,216.4376321,920,628874,296,60613,50548,82321,4890,193,0.097,0.003818153,7.3,168,0.003323574,12,0.000237398,498,0.040086936,343,0.027610078,261,0.021009418,3,5.93E-05,10,0.000197832,5,9.89E-05,2,19864.09,4.15,215.0189898,-1.418642262,1.418642262
2017,1/1/2017,60614,34,0.00051929,0,201701,764550,362,57,236,319.047619,1400,1469961,541,60614,65474,107461,7996,372,0.122,0.005681645,9,191,0.002917189,8,0.000122186,683,0.054978669,534,0.042984786,412,0.033164292,13,0.000198552,17,0.000259645,11,0.000168006,3,19864.09,4.15,305.8979398,-13.14967923,13.14967923
2017,1/1/2017,60615,11,0.000243924,0,201701,227500,139,87,68,130.6106944,1600,414370,198,60615,45096,44111,4838,55,0.107,0.00121962,2.8,139,0.003082313,4,8.87E-05,236,0.018997022,213,0.017145617,122,0.009820494,3,6.65E-05,348,0.007716871,5,0.000110875,2,19864.09,4.15,125.0064879,-5.604206489,5.604206489
2017,1/1/2017,60616,12,0.000254923,0,201701,310050,135,61.5,76,254.0704113,1200,400076,230,60616,47073,45997,5463,154,0.116,0.003271514,3.9,225,0.00477981,8,0.000169949,323,0.026000161,402,0.032359333,288,0.023182806,1,2.12E-05,88,0.001869437,6,0.000127462,0,19864.09,4.15,194.5797635,-59.49064777,59.49064777
